"Name","val_acc","test_acc","State","Notes","User","Tags","Created","Runtime","Sweep","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","dataset","epochs","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","seed","wd_B","wd_F","yaml","val_loss","best_epoch","test_loss"
"CIFAR10_classification_CCL","0.4986","0.5184","finished","-","","","2024-05-05T00:53:30.000Z","1268","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","2","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.4362087299346924","88","1.371373140335083"
"CIFAR10_classification_CCL","0.4764","0.4751","finished","-","","","2024-05-05T06:27:00.000Z","1533","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","4","0","0","./yaml/mlp/cifar10_ccl.yaml","1.4880166667938233","98","1.4873620811462402"
"MNIST_classification_CCL","0.9695","0.9721","finished","-","","","2024-05-06T01:04:25.000Z","1551","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","0.5","0.5","0.5","0.5","0.5","CCL","0","0","train","1","SGD","4","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.1083549298842748","99","0.09251950583457946"
"CIFAR100_classification_CCL","0.04","0.162","finished","-","","","2024-05-06T02:50:17.000Z","1103","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","2","2","CCL","0","0","train","3","SGD","5","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.593946425628662","4","3.792725545501709"
"MNIST_classification_CCL","0.9801666666666666","0.9807","finished","-","","","2024-05-06T02:22:05.000Z","1549","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","1","SGD","4","0","0","./yaml/mlp/mnist_ccl.yaml","0.0742370408376058","89","0.06795538585782052"
"CIFAR100_classification_CCL","0.0566","0.156","finished","-","","","2024-05-05T00:46:52.000Z","870","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","2","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.381594692993164","8","3.766962903594971"
"MNIST_classification_CCL","0.9781666666666666","0.9814","finished","-","","","2024-05-06T03:13:25.000Z","1519","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","5","0","0","./yaml/mlp/mnist_ccl.yaml","0.08912647014856338","82","0.06690077269673347"
"CIFAR10_classification_CCL","0.507","0.515","finished","-","","","2024-05-05T00:06:17.000Z","1101","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","1","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.4215006786346436","96","1.3988692852020264"
"CIFAR10_classification_CCL","0.3476","0.3792","finished","-","","","2024-05-06T00:58:55.000Z","1110","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","3","SGD","6","0","0","./yaml/mlp/cifar10_ccl.yaml","2.0524777206420897","43","1.7789791582107544"
"FashionMNIST_classification_CCL","0.8786666666666667","0.8699","finished","-","","","2024-05-05T04:49:23.000Z","1057","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","1","SGD","3","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.35401718397935233","71","0.37887725172042847"
"CIFAR100_classification_CCL","0.2106","0.211","finished","-","","","2024-05-06T01:48:42.000Z","2175","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","1","2","2","CCL","0","0","train","3","SGD","4","0","0","./yaml/mlp/cifar100_ccl.yaml","3.4830904586791993","98","3.478757370758057"
"CIFAR100_classification_CCL","0.2008","0.1881","finished","-","","","2024-05-05T01:30:28.000Z","837","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","3","0","0","./yaml/mlp/cifar100_ccl.yaml","3.548766839981079","97","3.6114926429748535"
"FashionMNIST_classification_CCL","0.8855","0.8826","finished","-","","","2024-05-05T00:27:27.000Z","1025","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","1","0","0","./yaml/mlp/fmnist_ccl.yaml","0.3289066197872162","85","0.3390017949581146"
"MNIST_classification_CCL","0.969","0.9743","finished","-","","","2024-05-06T01:55:44.000Z","1551","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","5","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.10877541482448576","97","0.08967265603542328"
"CIFAR100_classification_CCL","0.1564","0.1577","finished","-","","","2024-05-05T00:06:17.000Z","1095","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","0.2","0.2","CCL","0","0","train","3","SGD","1","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","3.7817988376617433","46","3.759785040283203"
"CIFAR10_classification_CCL","0.3346","0.3718","finished","-","","","2024-05-05T05:33:26.000Z","1597","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","1.5","1.5","CCL","0","0","train","3","SGD","3","0","0","./yaml/mlp/cifar10_ccl.yaml","1.9150133365631103","94","1.7875369817733764"
"CIFAR10_classification_CCL","0.331","0.3775","finished","-","","","2024-05-06T01:54:56.000Z","1109","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","3","SGD","7","0","0","./yaml/mlp/cifar10_ccl.yaml","1.9577064344406128","98","1.7809041706085205"
"MNIST_classification_CCL","0.9781666666666666","0.9808","finished","-","","","2024-05-05T05:01:49.000Z","1132","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","3","0","0","./yaml/mlp/mnist_ccl.yaml","0.0869797505736351","99","0.0707869302213192"
"CIFAR100_classification_CCL","0.0382","0.158","finished","-","","","2024-05-05T03:01:24.000Z","951","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","4","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.520513929748535","6","3.777649111938477"
"MNIST_classification_CCL","0.9691666666666666","0.9727","finished","-","","","2024-05-06T01:56:07.000Z","1547","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","4","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.10858588951826097","99","0.0924751347064972"
"CIFAR100_classification_CCL","0.0376","0.1546","finished","-","","","2024-05-05T02:09:31.000Z","843","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","1","1","0.5","2","2","CCL","0","0","train","3","SGD","3","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.590923046875","4","3.795004941558838"
