"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"MNIST_FWDTP-BN_linear-BN","","39.80130219459534","finished","-","","","2024-05-04T01:29:00.000Z","60","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","3","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_BP","","8.01028561592102","finished","-","","","2024-05-04T01:29:32.000Z","31","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","1","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36904","1.813114643096924","0.3712","1.817976713180542","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","58.49359154701233","finished","-","","","2024-05-04T01:30:11.000Z","78","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","3","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_FWDTP-BN_linear-BN","","15.809428930282593","finished","-","","","2024-05-04T01:30:12.000Z","37","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","10","1","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_BP","","10.416366338729858","finished","-","","","2024-05-04T01:30:54.000Z","42","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","MNIST","6","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","256","784","false","0.1","0.001","true","DTP","10","4","-1","0.01","0.04","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96215","0.11312974244356155","0.9518","0.1461458057165146","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DTP","","23.656473636627197","finished","-","","","2024-05-04T01:30:57.000Z","48","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","10","1","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","154.51914381980896","finished","-","","","2024-05-04T01:31:00.000Z","181","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","2","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","129.828054189682","finished","-","","","2024-05-04T01:31:38.000Z","150","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","3","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_FWDTP-BN_linear-BN","","47.56014966964722","finished","-","","","2024-05-04T01:31:45.000Z","70","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","4","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","36.02611827850342","finished","-","","","2024-05-04T01:31:52.000Z","57","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","1","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
