"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_CCL_none","0.8162","0.8171","finished","2024-05-03T08:26:03.000Z","2024-05-03T08:26:03.000Z","2024-05-03T07:27:20.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.5","0.000001","1","0","0","0.2","0.1","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5429345841407776","0.5489126303136349"
"CIFAR10_CCL_none","0.816","0.8283","finished","2024-05-03T19:24:54.000Z","2024-05-03T19:24:54.000Z","2024-05-03T18:15:12.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","1.2","CCL","0.2","0.000001","1","0","0","0.2","1","1.2","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5322137366175651","0.5851965916514397"
"CIFAR10_CCL_none","0.816","0.8262","finished","2024-05-03T17:04:57.000Z","2024-05-03T17:04:57.000Z","2024-05-03T15:55:24.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","0.5","CCL","0.5","0.000001","1","0","0","0.2","1","0.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5382129203557968","0.5736713515758515"
"CIFAR10_CCL_none","0.816","0.8197","finished","2024-05-03T15:17:16.000Z","2024-05-03T15:17:16.000Z","2024-05-03T14:04:12.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","0.3","CCL","0.8","0.000001","1","0","0","0.2","0.3","0.3","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5516374779462815","0.5726732447624207"
"CIFAR10_CCL_none","0.8158","0.8314","finished","2024-05-03T20:34:30.000Z","2024-05-03T20:34:30.000Z","2024-05-03T19:25:03.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","1.2","CCL","0.5","0.000001","1","0","0","0.2","1","1.2","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5324893249034881","0.5872341798782349"
"CIFAR10_CCL_none","0.8154","0.8327","finished","2024-05-03T20:20:55.000Z","2024-05-03T20:20:55.000Z","2024-05-03T19:10:17.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.8","0.000001","1","1","0","0.2","0.3","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5526104593515396","0.6118243746042251"
"CIFAR10_CCL_none","0.8154","0.8259","finished","2024-05-03T17:02:22.000Z","2024-05-03T17:02:22.000Z","2024-05-03T16:07:18.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.5","0.000001","1","0","0","0.2","0.3","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.547849943447113","0.565375947880745"
"CIFAR10_CCL_none","0.8152","0.8267","finished","2024-05-03T15:36:24.000Z","2024-05-03T15:36:24.000Z","2024-05-03T14:00:06.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","0.5","CCL","0.8","0.000001","1","1","0","0.2","0.3","0.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.542124936914444","0.5651075506150722"
"CIFAR10_CCL_none","0.815","0.8281","finished","2024-05-03T16:42:49.000Z","2024-05-03T16:42:49.000Z","2024-05-03T15:36:34.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.8","0.000001","1","1","0","0.2","0.3","1","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5447031879901886","0.6133158617973328"
"CIFAR10_CCL_none","0.8146","0.8247","finished","2024-05-03T14:30:11.000Z","2024-05-03T14:30:11.000Z","2024-05-03T13:25:16.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.2","0.000001","1","1","0","0.2","0.3","1","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5316920248985291","0.5810936928272248"
"CIFAR10_CCL_none","0.8146","0.8255","finished","2024-05-03T17:22:19.000Z","2024-05-03T17:22:19.000Z","2024-05-03T16:23:37.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.5","0.000001","1","1","0","0.2","0.3","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5465396854877472","0.5997419784545899"
"CIFAR10_CCL_none","0.8144","0.827","finished","2024-05-03T17:56:09.000Z","2024-05-03T17:56:09.000Z","2024-05-03T16:42:59.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.2","0.000001","1","1","0","0.2","0.3","1.5","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.536836589050293","0.5768811453819275"
"CIFAR10_CCL_none","0.8144","0.8238","finished","2024-05-03T07:24:09.000Z","2024-05-03T07:24:09.000Z","2024-05-03T06:20:50.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.8","0.000001","1","1","0","0.2","0.1","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5363558446407318","0.5691065832138061"
