"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_BP_none","0.8814","0.8577","finished","2024-05-03T10:23:03.000Z","2024-05-03T10:23:03.000Z","2024-05-03T09:49:53.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","0.5","1","0","0","1","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4652916939258576","0.49815491643697024"
"CIFAR10_BP_none","0.8814","0.8412","finished","2024-05-03T15:29:53.000Z","2024-05-03T15:29:53.000Z","2024-05-03T14:49:02.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","3","0.03","BP","0.9","0.00001","0.5","1","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5919098099708557","0.7619760023963638"
"CIFAR10_BP_none","0.881","0.8792","finished","2024-05-03T14:45:10.000Z","2024-05-03T14:45:10.000Z","2024-05-03T14:12:49.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.9","0.00001","0.5","1","0","0","3","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6514436119556427","0.6688112575531006"
"CIFAR10_BP_none","0.8808","0.8777","finished","2024-05-05T08:22:24.000Z","2024-05-05T08:22:24.000Z","2024-05-05T07:44:37.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.5","0.00001","0.5","3","0","0","1","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.44942671074867246","0.4489344177991152"
"CIFAR10_BP_none","0.8806","0.8509","finished","2024-05-03T12:46:51.000Z","2024-05-03T12:46:51.000Z","2024-05-03T11:53:53.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.03","BP","0.9","0.00001","0.5","0","0","0","1","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.47856755447387694","0.5463846497610212"
"CIFAR10_BP_none","0.8802","0.8791","finished","2024-05-05T03:10:03.000Z","2024-05-05T03:10:03.000Z","2024-05-05T02:34:33.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.03","BP","0.5","0.00001","0.5","2","0","0","0","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5067546288967133","0.5167006527662277"
"CIFAR10_BP_none","0.8802","0.8592","finished","2024-05-03T14:29:50.000Z","2024-05-03T14:29:50.000Z","2024-05-03T13:38:08.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","0","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5142033849239349","0.5998814960598946"
"CIFAR10_BP_none","0.8798","0.88","finished","2024-05-05T04:22:18.000Z","2024-05-05T04:22:18.000Z","2024-05-05T03:46:16.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.05","BP","0.5","0.00001","0.5","2","0","0","0","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5679271603167058","0.5558115842580795"
"CIFAR10_BP_none","0.8794","0.8813","finished","2024-05-05T04:28:59.000Z","2024-05-05T04:28:59.000Z","2024-05-05T03:51:48.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.05","BP","0.5","0.00001","0.5","3","0","0","0","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5467829166412354","0.5669671736717224"
"CIFAR10_BP_none","0.8794","0.8846","finished","2024-05-05T09:53:46.000Z","2024-05-05T09:53:46.000Z","2024-05-05T09:21:43.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","0.5","4","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6314878255367279","0.6897739464759827"
"CIFAR10_BP_none","0.8792","0.8657","finished","2024-05-03T16:51:38.000Z","2024-05-03T16:51:38.000Z","2024-05-03T16:10:52.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","3","0.05","BP","0.9","0.00001","0.5","1","0","0","3","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.562782237625122","0.7088982997894288"
"CIFAR10_BP_none","0.8792","0.8459","finished","2024-05-05T08:47:20.000Z","2024-05-05T08:47:20.000Z","2024-05-05T08:10:19.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","2","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5519555297851563","0.6681265439033508"
"CIFAR10_BP_none","0.8792","0.8557","finished","2024-05-03T13:20:41.000Z","2024-05-03T13:20:41.000Z","2024-05-03T12:47:25.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.5","0.00001","0.5","0","0","0","3","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4602274649620056","0.4975077867972664"
"CIFAR10_BP_none","0.8792","0.8765","finished","2024-05-03T11:09:57.000Z","2024-05-03T11:09:57.000Z","2024-05-03T10:35:18.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.5","0.00001","0.5","1","0","0","1","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4930848127603531","0.45968020594120024"
"CIFAR10_BP_none","0.8792","0.8844","finished","2024-05-05T12:43:19.000Z","2024-05-05T12:43:19.000Z","2024-05-05T12:06:34.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.9","0.00001","0.5","3","0","0","3","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6107277507305146","0.6531313123226166"
"CIFAR10_BP_none","0.8788","0.8562","finished","2024-05-03T06:35:30.000Z","2024-05-03T06:35:30.000Z","2024-05-03T06:02:24.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.03","BP","0.5","0.00001","0.5","1","0","0","0","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5214498083829879","0.5746349958658218"
"CIFAR10_BP_none","0.8788","0.834","finished","2024-05-03T08:32:53.000Z","2024-05-03T08:32:53.000Z","2024-05-03T07:50:00.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","0","0.05","BP","0.5","0.00001","0.5","1","0","0","0","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5200951536893844","0.7446922858715057"
"CIFAR10_BP_none","0.8786","0.8556","finished","2024-05-03T14:37:36.000Z","2024-05-03T14:37:36.000Z","2024-05-03T14:03:24.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.5","0.00001","0.5","1","0","0","3","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5038599805474281","0.6005005654096603"
"CIFAR10_BP_none","0.8786","0.8797","finished","2024-05-03T08:09:19.000Z","2024-05-03T08:09:19.000Z","2024-05-03T07:36:36.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.05","BP","0.9","0.00001","0.5","1","0","0","0","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6424220716476441","0.6810607348442078"
"CIFAR10_BP_none","0.8786","0.8624","finished","2024-05-03T13:14:36.000Z","2024-05-03T13:14:36.000Z","2024-05-03T12:38:44.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.01","BP","0.9","0.00001","0.5","1","0","0","3","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4778132545948029","0.5845526717059314"
"CIFAR10_BP_none","0.8786","0.8825","finished","2024-05-05T11:16:24.000Z","2024-05-05T11:16:24.000Z","2024-05-05T10:39:08.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","0.5","2","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6362871298059821","0.6607889502465725"
"CIFAR10_BP_none","0.8784","0.8576","finished","2024-05-03T13:39:58.000Z","2024-05-03T13:39:58.000Z","2024-05-03T13:07:09.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","0.5","1","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.542124001789093","0.6489116757869721"
"CIFAR10_BP_none","0.8784","0.8822","finished","2024-05-05T03:14:36.000Z","2024-05-05T03:14:36.000Z","2024-05-05T02:37:54.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.03","BP","0.5","0.00001","0.5","3","0","0","0","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5159502649784088","0.524751995402202"
"CIFAR10_BP_none","0.8784","0.8845","finished","2024-05-03T07:42:28.000Z","2024-05-03T07:42:28.000Z","2024-05-03T07:09:02.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.05","BP","0.5","0.00001","0.5","1","0","0","0","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5729396433573216","0.5783855922698975"
"CIFAR10_BP_none","0.878","0.8394","finished","2024-05-05T07:45:15.000Z","2024-05-05T07:45:15.000Z","2024-05-05T07:13:23.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","4","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5443374947547912","0.6842675373077393"
"CIFAR10_BP_none","0.878","0.8642","finished","2024-05-05T11:53:50.000Z","2024-05-05T11:53:50.000Z","2024-05-05T11:16:32.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.5","0.00001","0.5","2","0","0","3","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4997641457080841","0.5697109767913818"
"CIFAR10_BP_none","0.8774","0.8501","finished","2024-05-05T09:00:33.000Z","2024-05-05T09:00:33.000Z","2024-05-05T08:22:33.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","3","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5259032993793488","0.7050302596576512"
"CIFAR10_BP_none","0.8774","0.8814","finished","2024-05-03T14:24:20.000Z","2024-05-03T14:24:20.000Z","2024-05-03T13:49:51.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","0.5","1","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6602109238743782","0.6395095391628566"
"CIFAR10_BP_none","0.8772","0.8434","finished","2024-05-03T12:28:56.000Z","2024-05-03T12:28:56.000Z","2024-05-03T11:40:45.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","0","1","0.03","BP","0.9","0.00001","0.5","1","0","0","1","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5019223237037659","0.8011652353286743"
