"Name","dataset","algorithm","loss_feedback","test accuracy","Runtime","State","learning_rate","learning_rate_backward","train accuracy","seed","activation_function","epochs_backward","stepsize"
"CIFAR10_DTP_linear_DTP","CIFAR10","DTP","DTP","0.4891","14789","finished","4","0.004","0.66484","1","","5","0.002"
"CIFAR10_DTP_linear_DTP","CIFAR10","DTP","DTP","0.4868","11670","finished","4","0.004","0.69442","5","","5","0.002"
"CIFAR10_BP","CIFAR10","BP","DTP","0.482","249","finished","0.001","0.001","0.51742","3","tanh","5","0.01"
"CIFAR10_BP","CIFAR10","BP","DTP","0.482","183","finished","0.001","0.001","0.51696","2","tanh","5","0.01"
"CIFAR10_BP","CIFAR10","BP","DTP","0.4811","221","finished","0.001","0.001","0.51768","5","tanh","5","0.01"
"CIFAR10_BP","CIFAR10","BP","DTP","0.4784","194","finished","0.001","0.001","0.5188","1","tanh","5","0.01"
"CIFAR10_DTP_linear_DTP","CIFAR10","DTP","DTP","0.4781","8166","finished","4","0.004","0.67282","2","","5","0.002"
"CIFAR10_BP","CIFAR10","BP","DTP","0.477","271","finished","0.001","0.001","0.51678","4","tanh","5","0.01"
"CIFAR10_DTP_linear_DRL","CIFAR10","DTP","DRL","0.4638","12553","finished","2","0.004","0.49044","2","","5","0.008"
"CIFAR10_DTP_linear_L-DRL","CIFAR10","DTP","L-DRL","0.4606","12147","finished","0.2","0.0004","0.4751","2","","5","0.04"
"CIFAR10_DTP-BN_linear_DTP","CIFAR10","DTP-BN","DTP","0.4581","19879","finished","4","0.004","0.87966","5","","5","0.002"
"CIFAR10_DTP_linear_DRL","CIFAR10","DTP","DRL","0.4559","9041","finished","2","0.004","0.49182","5","","5","0.008"
"CIFAR10_DTP_linear_L-DRL","CIFAR10","DTP","L-DRL","0.4554","16900","finished","0.2","0.0004","0.4763","4","","5","0.04"
"CIFAR10_DTP-BN_linear_DTP","CIFAR10","DTP-BN","DTP","0.4551","15324","finished","4","0.004","0.92408","2","","5","0.002"
"CIFAR10_DTP_linear_L-DRL","CIFAR10","DTP","L-DRL","0.4541","13155","finished","0.2","0.0004","0.47904","5","","5","0.04"
"CIFAR10_DTP_linear_DRL","CIFAR10","DTP","DRL","0.454","14050","finished","2","0.004","0.48628","3","","5","0.008"
"CIFAR10_DTP_linear_DRL","CIFAR10","DTP","DRL","0.4536","14426","finished","2","0.004","0.49034","1","","5","0.008"
"CIFAR10_DTP-BN_linear_DTP","CIFAR10","DTP-BN","DTP","0.4535","20767","finished","4","0.004","0.92304","4","","5","0.002"
"CIFAR10_DTP_linear_DRL","CIFAR10","DTP","DRL","0.4526","20074","finished","2","0.004","0.48984","4","","5","0.008"
"CIFAR10_DTP-BN_linear_DTP","CIFAR10","DTP-BN","DTP","0.4516","25579","finished","4","0.004","0.91662","1","","5","0.002"
"CIFAR10_DTP_linear_L-DRL","CIFAR10","DTP","L-DRL","0.4506","16019","finished","0.2","0.0004","0.4735","3","","5","0.04"
"CIFAR10_DTP_linear_L-DRL","CIFAR10","DTP","L-DRL","0.4503","12682","finished","0.2","0.0004","0.4761","1","","5","0.04"
"CIFAR10_DTP-BN_linear_DTP","CIFAR10","DTP-BN","DTP","0.4445","17212","finished","4","0.004","0.9139","3","","5","0.002"
"CIFAR10_FWDTP_linear","CIFAR10","FWDTP","DTP","0.359","15941","finished","0.02","0.001","0.356","1","","5","0.01"
