"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"MNIST_classification_BP","43.39286208152771","","finished","-","","","2024-05-04T03:26:01.000Z","62","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","3","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.1","0.05","BP","0","0","train","1","SGD","classification","none","0","0","0","0","./yaml/linear_mnist_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR100_BP","","12.614818572998049","finished","-","","","2024-05-04T07:19:23.000Z","34","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR100","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","100","1","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08564","4.225888252258301","0.0812","4.2420654296875","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","49.74871754646301","finished","-","","","2024-05-04T07:13:36.000Z","75","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","6","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_classification_CCL","55.70698046684265","","finished","-","","","2024-05-04T03:23:48.000Z","81","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","1","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","1","SGD","classification","none","0","100","0","0","./yaml/linear_mnist_ccl.yaml","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","107.86501288414","finished","-","","","2024-05-04T07:05:54.000Z","132","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","2","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","102.2031774520874","finished","-","","","2024-05-04T07:08:41.000Z","124","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","3","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_classification_BP","32.11328983306885","","finished","-","","","2024-05-04T03:25:08.000Z","45","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","6","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.1","0.05","BP","0","0","train","1","SGD","classification","none","0","0","0","0","./yaml/linear_mnist_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_FWDTP-BN_linear-BN","","24.07152247428894","finished","-","","","2024-05-04T07:11:37.000Z","46","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","10","6","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DTP","","33.45609664916992","finished","-","","","2024-05-04T06:47:58.000Z","60","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","10","9","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","62.94568133354187","finished","-","","","2024-05-04T06:25:05.000Z","92","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","10","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_BP","103.36557459831238","","finished","-","","","2024-05-04T03:36:22.000Z","127","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","7","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.2","0.05","BP","0","0","train","3","SGD","classification","none","0","0","0","0","./yaml/linear_cifar100_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR100_BP","","10.22767424583435","finished","-","","","2024-05-04T07:15:33.000Z","37","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR100","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","100","2","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08754","4.245284080505371","0.0848","4.256267070770264","","","","","","","","","","","",""
"MNIST_classification_BP","48.61085081100464","","finished","-","","","2024-05-04T03:25:43.000Z","70","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","5","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.1","0.05","BP","0","0","train","1","SGD","classification","none","0","0","0","0","./yaml/linear_mnist_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_classification_CCL","51.271602630615234","","finished","-","","","2024-05-04T03:32:36.000Z","66","","","","","","","","","","","","CIFAR10","","","5","","","","","","","","","","","","","","","","","10","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar10_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR100_DTP_linear_DRL","","53.72833704948425","finished","-","","","2024-05-04T06:36:07.000Z","81","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","100","10","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_L-DRL","","55.63959550857544","finished","-","","","2024-05-04T07:14:57.000Z","80","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","0.2","0.0004","true","L-DRL","10","4","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_DTP_linear_L-DRL","","56.793644189834595","finished","-","","","2024-05-04T07:23:47.000Z","81","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","0.2","0.0004","true","L-DRL","100","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_BP","","14.621166944503784","finished","-","","","2024-05-04T07:06:08.000Z","43","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","7","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36834","1.816367268562317","0.367","1.8191016912460327","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","134.68856692314148","finished","-","","","2024-05-04T07:08:34.000Z","156","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","1","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_FWDTP-BN_linear-BN","","19.433143854141235","finished","-","","","2024-05-04T06:33:59.000Z","46","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","100","10","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DTP","","30.157124519348145","finished","-","","","2024-05-04T07:12:34.000Z","52","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","10","6","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_classification_BP","143.89701771736145","","finished","-","","","2024-05-04T03:31:14.000Z","167","","","","","","","","","","","","CIFAR10","","","5","","","","","","","","","","","","","","","","","7","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.2","0.05","BP","0","0","train","3","SGD","classification","none","0","0","0","0","./yaml/linear_cifar10_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR100_DTP_linear_DRL","","60.21173620223999","finished","-","","","2024-05-04T07:22:10.000Z","83","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","100","1","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_BP","91.87318563461304","","finished","-","","","2024-05-04T03:36:39.000Z","121","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","9","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.2","0.05","BP","0","0","train","3","SGD","classification","none","0","0","0","0","./yaml/linear_cifar100_bp.yaml","","","","","","","","","","","","","","","",""
