"Name","dataset","method","test_acc","Created","State","Runtime","GradC","act_B","act_F","batchsize","bias_init","epochs","filter_target","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","warmup","seed","bw_bn","val_acc","best_epoch"
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T17:29:53.000Z","crashed","1231","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","2","2","0.2764",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:31.000Z","failed","18","0","elu","elu","256","zero","100","0","1","1","0.5","0.5","0.5","100","2","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:29.000Z","failed","19","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","1","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:30.000Z","failed","20","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","1","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:02:55.000Z","failed","18","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","2","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:08.000Z","failed","20","0","elu","elu","256","zero","100","0","0.5","1","0.5","0.5","0.5","100","1","0","",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T17:40:39.000Z","crashed","570","0","elu","elu","256","zero","100","0","1","1","0.5","1.5","1.5","100","2","2","0.2",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T14:46:16.000Z","crashed","2","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","0","2","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:01.000Z","failed","21","0","elu","elu","256","zero","100","0","1","1","0.5","0.5","0.5","100","1","0","",""
"MNIST_classification_CCL","MNIST","CCL","","2024-05-01T22:59:43.000Z","crashed","3","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","0","2","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:44.000Z","failed","17","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","3","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:12.000Z","failed","20","0","elu","elu","256","zero","100","0","0.5","1","0.5","1.5","1.5","100","1","0","",""
"CIFAR100_classification_CCL","CIFAR100","CCL","","2024-05-02T04:15:35.000Z","crashed","5310","0","elu","elu","256","zero","100","0","1","1","0.5","3","3","100","0","0","0.1888",""
"CIFAR10_classification_CCL","CIFAR10","CCL","","2024-05-01T14:50:46.000Z","crashed","1620","0","elu","elu","256","zero","100","0","1","1","0.5","1.5","1.5","100","0","2","0.2448",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:00:54.000Z","failed","21","0","elu","elu","256","zero","100","0","1","1","0.5","1.5","1.5","100","0","0","",""
"FashionMNIST_classification_CCL","FashionMNIST","CCL","","2024-05-01T23:03:39.000Z","failed","20","0","elu","elu","256","zero","100","0","0.5","1","0.5","2","2","100","1","0","",""
