"Name","test accuracy","valid accuracy","State","Runtime","activation_function","agent","algorithm","batch_size","dataset","epochs","forward_last_activation","learning_rate","loss_feedback","seed","sparse_ratio","std_backward","stepsize","version","test loss","train accuracy"
"MNIST_DTP_linear_DRL","0.9306","0.9306","finished","4713","","false","DTP","256","MNIST","100","linear","4","DRL","4","-1","0.01","0.04","","0.23146501183509827","0.9378666666666666"
"FashionMNIST_DTP_linear_DTP","0.8805","0.8805","finished","4336","","false","DTP","256","FashionMNIST","100","linear","1","DTP","4","-1","0.01","0.04","","0.3886774480342865","0.9550666666666666"
"FashionMNIST_FWDTP-BN_linear-BN","0.8824","0.8824","finished","626","","false","FWDTP-BN","256","FashionMNIST","100","linear-BN","1","DTP","5","-1","0.01","0.004","3","0.5897587537765503","0.9639833333333332"
"FashionMNIST_BP","0.8953","0.8953","finished","192","tanh","false","BP","256","FashionMNIST","100","linear","0.05","DTP","4","-1","0.01","0.04","","0.4985806941986084","0.9996166666666668"
"CIFAR10_BP","0.4473","0.4473","finished","256","tanh","false","BP","256","CIFAR10","100","linear","0.001","DTP","2","-1","0.01","0.01","","1.628475785255432","0.49818"
"FashionMNIST_BP","0.8936","0.8936","finished","195","tanh","false","BP","256","FashionMNIST","100","linear","0.05","DTP","2","-1","0.01","0.04","","0.46680960059165955","0.9998666666666668"
"CIFAR100_DTP_linear_L-DRL","0.2011","0.2011","finished","13850","","false","DTP","256","CIFAR100","100","linear","2","L-DRL","1","-1","0.01","0.008","","3.596919059753418","0.28608"
"CIFAR100_DTP_linear_DRL","0.2006","0.2006","finished","13757","","false","DTP","256","CIFAR100","100","linear","0.8","DRL","1","-1","0.01","0.02","","3.597893714904785","0.2858"
"CIFAR10_DTP_linear_L-DRL","0.4204","0.4204","finished","12509","","false","DTP","256","CIFAR10","100","linear","0.2","L-DRL","1","-1","0.01","0.04","","1.7047581672668457","0.45932"
"MNIST_BP","0.981","0.981","finished","267","tanh","false","BP","256","MNIST","100","linear","0.05","DTP","4","-1","0.01","0.04","","0.07619822770357132","1"
"CIFAR100_DTP_linear_DTP","0.2068","0.2068","finished","1239","","false","DTP","256","CIFAR100","100","linear","1","DTP","5","-1","0.01","0.01","3","4.006698131561279","0.60178"
"CIFAR100_BP","0.2109","0.2109","finished","163","tanh","false","BP","256","CIFAR100","100","linear","0.02","DTP","1","-1","0.01","0.01","","4.484102249145508","0.94854"
"MNIST_BP","0.9818","0.9818","finished","269","tanh","false","BP","256","MNIST","100","linear","0.2","DTP","4","-1","0.01","0.04","","0.07836541533470154","1"
"CIFAR10_DTP_linear_DRL","0.4235","0.4235","finished","1624","","false","DTP","256","CIFAR10","100","linear","2","DRL","1","-1","0.01","0.008","3","1.7001290321350098","0.47496"
"CIFAR10_BP","0.4961","0.4961","finished","181","tanh","false","BP","256","CIFAR10","100","linear","0.05","DTP","3","-1","0.01","0.01","","2.33068323135376","1"
"CIFAR10_BP","0.4735","0.4735","finished","254","tanh","false","BP","256","CIFAR10","100","linear","0.004","DTP","2","-1","0.01","0.01","","1.5829825401306152","0.75166"
"MNIST_DTP_linear_DTP","0.9724","0.9724","finished","760","","false","DTP","256","MNIST","100","linear","4","DTP","3","-1","0.01","0.04","3","0.16309082508087158","0.9999833333333332"
"FashionMNIST_DTP_linear_DRL","0.8349","0.8349","finished","1552","","false","DTP","256","FashionMNIST","100","linear","4","DRL","3","-1","0.01","0.008","3","0.4645989537239074","0.8487833333333333"
"MNIST_DTP_linear_DTP","0.9727","0.9727","finished","760","","false","DTP","256","MNIST","100","linear","4","DTP","4","-1","0.01","0.04","3","0.1579207330942154","0.9999833333333332"
"FashionMNIST_DTP_linear_L-DRL","0.8388","0.8388","finished","4380","","false","DTP","256","FashionMNIST","100","linear","2","L-DRL","3","-1","0.01","0.02","","0.45685139298439026","0.8521333333333333"
"MNIST_FWDTP-BN_linear-BN","0.9718","0.9718","finished","564","","false","FWDTP-BN","256","MNIST","100","linear-BN","0.1","DTP","1","-1","0.01","0.04","3","0.3849670886993408","0.9957"
"CIFAR100_BP","0.2081","0.2081","finished","177","tanh","false","BP","256","CIFAR100","100","linear","0.002","DTP","3","-1","0.01","0.01","","3.536987781524658","0.27658"
"CIFAR10_BP","0.4802","0.4802","finished","252","tanh","false","BP","256","CIFAR10","100","linear","0.004","DTP","1","-1","0.01","0.01","","1.581480622291565","0.75502"
"CIFAR100_FWDTP-BN_linear-BN","0.2088","0.2088","finished","13952","","false","FWDTP-BN","256","CIFAR100","100","linear-BN","0.2","DTP","2","-1","0.01","0.01","","3.708406925201416","0.684"
"MNIST_DTP_linear_L-DRL","0.9361","0.9361","finished","1233","","false","DTP","256","MNIST","100","linear","4","L-DRL","1","-1","0.01","0.04","3","0.22178110480308533","0.93995"
"FashionMNIST_DTP_linear_DTP","0.8826","0.8826","finished","810","","false","DTP","256","FashionMNIST","100","linear","1","DTP","3","-1","0.01","0.04","3","0.4015881717205048","0.9554333333333334"
"FashionMNIST_DTP_linear_L-DRL","0.8357","0.8357","finished","4393","","false","DTP","256","FashionMNIST","100","linear","2","L-DRL","1","-1","0.01","0.02","","0.4562448263168335","0.85445"
"CIFAR10_FWDTP-BN_linear-BN","0.4549","0.4549","finished","751","","false","FWDTP-BN","256","CIFAR10","100","linear-BN","0.02","DTP","2","-1","0.01","0.01","3","1.6505564451217651","0.711"
"FashionMNIST_DTP_linear_DTP","0.8795","0.8795","finished","4254","","false","DTP","256","FashionMNIST","100","linear","1","DTP","3","-1","0.01","0.04","","0.3966516852378845","0.9532666666666668"
"CIFAR10_BP","0.5029","0.5029","finished","177","tanh","false","BP","256","CIFAR10","100","linear","0.1","DTP","1","-1","0.01","0.01","","2.4154951572418213","1"
"CIFAR10_DTP_linear_DRL","0.4159","0.4159","finished","12910","","false","DTP","256","CIFAR10","100","linear","2","DRL","1","-1","0.01","0.008","","1.709447979927063","0.4707"
"FashionMNIST_DTP_linear_DTP","0.8825","0.8825","finished","816","","false","DTP","256","FashionMNIST","100","linear","1","DTP","1","-1","0.01","0.04","3","0.3994594812393189","0.9579833333333332"
"CIFAR10_BP","0.144","0.144","finished","224","tanh","false","BP","256","CIFAR10","100","linear","0.2","DTP","1","-1","0.01","0.01","","4679458673917952","0.1398"
"CIFAR10_BP","0.4805","0.4805","finished","254","tanh","false","BP","256","CIFAR10","100","linear","0.02","DTP","2","-1","0.01","0.01","","2.2394979000091553","0.99994"
"CIFAR100_BP","0.2081","0.2081","finished","179","tanh","false","BP","256","CIFAR100","100","linear","0.05","DTP","1","-1","0.01","0.01","","5.208552837371826","0.99952"
